num_filters=16, learning_rate=0.001, val_acc=1.0000
num_filters=16, learning_rate=0.0005, val_acc=0.5000
num_filters=32, learning_rate=0.001, val_acc=0.2500
num_filters=32, learning_rate=0.0005, val_acc=0.5000
num_filters=16, learning_rate=0.001, val_acc=0.5000
num_filters=16, learning_rate=0.0005, val_acc=0.2500
num_filters=32, learning_rate=0.001, val_acc=0.2500
num_filters=32, learning_rate=0.0005, val_acc=0.5000
num_filters=16, learning_rate=0.001, val_acc=0.7500
num_filters=16, learning_rate=0.0005, val_acc=1.0000
num_filters=32, learning_rate=0.001, val_acc=0.5000
num_filters=32, learning_rate=0.0005, val_acc=0.5000
num_filters=16, learning_rate=0.001, val_acc=0.5000
num_filters=16, learning_rate=0.0005, val_acc=0.7500
num_filters=32, learning_rate=0.001, val_acc=0.5000
num_filters=32, learning_rate=0.0005, val_acc=0.0000
num_filters=16, learning_rate=0.001, val_acc=0.2500
num_filters=16, learning_rate=0.0005, val_acc=0.5000
num_filters=32, learning_rate=0.001, val_acc=0.7500
num_filters=32, learning_rate=0.0005, val_acc=0.2500
